Episode,name,Title,Season,Date,isSerie
,Oblivion,Oblivion,,10-Dec-19,FALSE
,"Extremely Wicked, Shockingly Evil and Vile","Extremely Wicked, Shockingly Evil and Vile",,08-Dec-19,FALSE
,17 Again,17 Again,,06-Dec-19,FALSE
,A Cinderella Story Christmas Wish,A Cinderella Story Christmas Wish,,03-Dec-19,FALSE
,Back to the Future Part II,Back to the Future Part II,,01-Dec-19,FALSE
The Sixth Key,Final Space,Final Space Season 2 The Sixth Key,2,27-nov.-19,TRUE
The Descent Into Darkness,Final Space,Final Space Season 2 The Descent Into Darkness,2,27-nov.-19,TRUE
The Set Up,Final Space,Final Space Season 2 The Set Up,2,27-nov.-19,TRUE
The Lost Spy,Final Space,Final Space Season 2 The Lost Spy,2,27-nov.-19,TRUE
The Closer You Get,Final Space,Final Space Season 2 The Closer You Get,2,27-nov.-19,TRUE
The Remembered,Final Space,Final Space Season 2 The Remembered,2,27-nov.-19,TRUE
The First Times They Met,Final Space,Final Space Season 2 The First Times They Met,2,27-nov.-19,TRUE
Arachnitects,Final Space,Final Space Season 2 Arachnitects,2,27-nov.-19,TRUE
The Notorious Mrs. Goodspeed,Final Space,Final Space Season 2 The Notorious Mrs. Goodspeed,2,27-nov.-19,TRUE
The Other Side,Final Space,Final Space Season 2 The Other Side,2,27-nov.-19,TRUE
The Grand Surrender,Final Space,Final Space Season 2 The Grand Surrender,2,27-nov.-19,TRUE
The Happy Place,Final Space,Final Space Season 2 The Happy Place,2,27-nov.-19,TRUE
The Toro Regatta,Final Space,Final Space Season 2 The Toro Regatta,2,27-nov.-19,TRUE
When Pirates Pirate Pirates,Limitless,Limitless Season 1 When Pirates Pirate Pirates,1,26-nov.-19,TRUE
Brian Finch's Black Op,Limitless,Limitless Season 1 Brian Finch's Black Op,1,25-nov.-19,TRUE
Side Effects May Include…,Limitless,Limitless Season 1 Side Effects May Include…,1,25-nov.-19,TRUE
Personality Crisis,Limitless,Limitless Season 1 Personality Crisis,1,25-nov.-19,TRUE
Page 44,Limitless,Limitless Season 1 Page 44,1,25-nov.-19,TRUE
The Legend of Marco Ramos,Limitless,Limitless Season 1 The Legend of Marco Ramos,1,25-nov.-19,TRUE
Badge! Gun!,Limitless,Limitless Season 1 Badge! Gun!,1,25-nov.-19,TRUE
Pilot,Limitless,Limitless Season 1 Pilot,1,23-nov.-19,TRUE
The Answer,The Good Place,The Good Place Season 4 The Answer,4,22-nov.-19,TRUE
Everything Is Fine,The Good Place,The Good Place Season 1 Everything Is Fine,1,21-nov.-19,TRUE
The Funerals To End All Funerals,The Good Place,The Good Place Season 4 The Funerals To End All Funerals,4,20-nov.-19,TRUE
Help is Other People,The Good Place,The Good Place Season 4 Help is Other People,4,20-nov.-19,TRUE
A Chip Driver Mystery,The Good Place,The Good Place Season 4 A Chip Driver Mystery,4,20-nov.-19,TRUE
Employee of the Bearimy,The Good Place,The Good Place Season 4 Employee of the Bearimy,4,20-nov.-19,TRUE
"Tinker, Tailor, Demon, Spy",The Good Place,"The Good Place Season 4 Tinker, Tailor, Demon, Spy",4,20-nov.-19,TRUE
Chillaxing,The Good Place,The Good Place Season 4 Chillaxing,4,20-nov.-19,TRUE
Shadow of a Doubt,Suits,Suits Season 3 Shadow of a Doubt,3,19-nov.-19,TRUE
A Girl From Arizona - Part 2,The Good Place,The Good Place Season 4 A Girl From Arizona - Part 2,4,19-nov.-19,TRUE
A Girl From Arizona - Part 1,The Good Place,The Good Place Season 4 A Girl From Arizona - Part 1,4,19-nov.-19,TRUE
Pandemonium,The Good Place,The Good Place Season 3 Pandemonium,3,19-nov.-19,TRUE
Chidi Sees the Time-Knife,The Good Place,The Good Place Season 3 Chidi Sees the Time-Knife,3,17-nov.-19,TRUE
The Book of Dougs,The Good Place,The Good Place Season 3 The Book of Dougs,3,17-nov.-19,TRUE
Janet(s),The Good Place,The Good Place Season 3 Janet(s),3,17-nov.-19,TRUE
Don't Let the Good Life Pass You By,The Good Place,The Good Place Season 3 Don't Let the Good Life Pass You By,3,17-nov.-19,TRUE
The Worst Possible Use of Free Will,The Good Place,The Good Place Season 3 The Worst Possible Use of Free Will,3,17-nov.-19,TRUE
A Fractured Inheritance,The Good Place,The Good Place Season 3 A Fractured Inheritance,3,17-nov.-19,TRUE
,Invader Zim Enter the Florpus,Invader Zim Enter the Florpus,,16-nov.-19,FALSE
The Ballad of Donkey Doug,The Good Place,The Good Place Season 3 The Ballad of Donkey Doug,3,15-nov.-19,TRUE
Jeremy Bearimy,The Good Place,The Good Place Season 3 Jeremy Bearimy,3,15-nov.-19,TRUE
The Snowplow,The Good Place,The Good Place Season 3 The Snowplow,3,14-nov.-19,TRUE
The Brainy Bunch,The Good Place,The Good Place Season 3 The Brainy Bunch,3,14-nov.-19,TRUE
Everything is Bonzer,The Good Place,The Good Place Season 3 Everything is Bonzer,3,14-nov.-19,TRUE
Somewhere Else,The Good Place,The Good Place Season 2 Somewhere Else,2,14-nov.-19,TRUE
The Burrito,The Good Place,The Good Place Season 2 The Burrito,2,14-nov.-19,TRUE
"Rhonda, Diana, Jake, and Trent",The Good Place,"The Good Place Season 2 Rhonda, Diana, Jake, and Trent",2,14-nov.-19,TRUE
Best Self,The Good Place,The Good Place Season 2 Best Self,2,14-nov.-19,TRUE
Leap to Faith,The Good Place,The Good Place Season 2 Leap to Faith,2,14-nov.-19,TRUE
Derek,The Good Place,The Good Place Season 2 Derek,2,14-nov.-19,TRUE
Janet and Michael,The Good Place,The Good Place Season 2 Janet and Michael,2,14-nov.-19,TRUE
The Trolley Problem,The Good Place,The Good Place Season 2 The Trolley Problem,2,14-nov.-19,TRUE
Existential Crisis,The Good Place,The Good Place Season 2 Existential Crisis,2,14-nov.-19,TRUE
Team Cockroach,The Good Place,The Good Place Season 2 Team Cockroach,2,14-nov.-19,TRUE
Dance Dance Resolution,The Good Place,The Good Place Season 2 Dance Dance Resolution,2,14-nov.-19,TRUE
Everything Is Great!,The Good Place,The Good Place Season 2 Everything Is Great!,2,13-nov.-19,TRUE
Michael's Gambit,The Good Place,The Good Place Season 1 Michael's Gambit,1,13-nov.-19,TRUE
Mindy St. Claire,The Good Place,The Good Place Season 1 Mindy St. Claire,1,13-nov.-19,TRUE
What's My Motivation,The Good Place,The Good Place Season 1 What's My Motivation,1,13-nov.-19,TRUE
Chidi's Choice,The Good Place,The Good Place Season 1 Chidi's Choice,1,13-nov.-19,TRUE
...Someone Like Me as a Member,The Good Place,The Good Place Season 1 ...Someone Like Me as a Member,1,07-nov.-19,TRUE
Most Improved Player,The Good Place,The Good Place Season 1 Most Improved Player,1,07-nov.-19,TRUE
The Eternal Shriek,The Good Place,The Good Place Season 1 The Eternal Shriek,1,07-nov.-19,TRUE
What We Owe to Each Other,The Good Place,The Good Place Season 1 What We Owe to Each Other,1,07-nov.-19,TRUE
,We're the Millers,We're the Millers,,05-nov.-19,FALSE
Episode 1,The End of the F***ing World,The End of the F***ing World Season 1 Episode 1,1,04-nov.-19,TRUE
Category 55 Emergency Doomsday Crisis,The Good Place,The Good Place Season 1 Category 55 Emergency Doomsday Crisis,1,28-oct.-19,TRUE
"A Quick One, While He's Away",BoJack Horseman,"BoJack Horseman Season 6 A Quick One, While He's Away",6,27-oct.-19,TRUE
The Face of Depression,BoJack Horseman,BoJack Horseman Season 6 The Face of Depression,6,27-oct.-19,TRUE
The Kidney Stays in the Picture,BoJack Horseman,BoJack Horseman Season 6 The Kidney Stays in the Picture,6,27-oct.-19,TRUE
"A Little Uneven, Is All",BoJack Horseman,"BoJack Horseman Season 6 A Little Uneven, Is All",6,27-oct.-19,TRUE
Surprise!,BoJack Horseman,BoJack Horseman Season 6 Surprise!,6,27-oct.-19,TRUE
Feel-Good Story,BoJack Horseman,BoJack Horseman Season 6 Feel-Good Story,6,27-oct.-19,TRUE
Conflict of Interest,Suits,Suits Season 3 Conflict of Interest,3,26-oct.-19,TRUE
The New Client,BoJack Horseman,BoJack Horseman Season 6 The New Client,6,26-oct.-19,TRUE
A Horse Walks into a Rehab,BoJack Horseman,BoJack Horseman Season 6 A Horse Walks into a Rehab,6,26-oct.-19,TRUE
Unfinished Business,Suits,Suits Season 3 Unfinished Business,3,25-oct.-19,TRUE
,Los 10 años de Peter Capusotto Lo más mejor Episode 1,Los 10 años de Peter Capusotto Lo más mejor Episode 1,,25-oct.-19,FALSE
,The Green Hornet,The Green Hornet,,24-oct.-19,FALSE
,League of Legends Origins,League of Legends Origins,,24-oct.-19,FALSE
Jason Mendoza,The Good Place,The Good Place Season 1 Jason Mendoza,1,24-oct.-19,TRUE
,The Laundromat,The Laundromat,,23-oct.-19,FALSE
,Fractured,Fractured,,23-oct.-19,FALSE
I Want You to Want Me,Suits,Suits Season 3 I Want You to Want Me,3,22-oct.-19,TRUE
The Arrangement,Suits,Suits Season 3 The Arrangement,3,22-oct.-19,TRUE
War,Suits,Suits Season 2 War,2,22-oct.-19,TRUE
Nice Knowing You,Living with Yourself,Living with Yourself Season 1 Nice Knowing You,1,20-oct.-19,TRUE
Piña Colada,Living with Yourself,Living with Yourself Season 1 Piña Colada,1,20-oct.-19,TRUE
Neighbors and Friends,Living with Yourself,Living with Yourself Season 1 Neighbors and Friends,1,20-oct.-19,TRUE
Va Bene,Living with Yourself,Living with Yourself Season 1 Va Bene,1,20-oct.-19,TRUE
Soul Mate,Living with Yourself,Living with Yourself Season 1 Soul Mate,1,20-oct.-19,TRUE
Green Tea,Living with Yourself,Living with Yourself Season 1 Green Tea,1,20-oct.-19,TRUE
Made in a Strip Mall,Living with Yourself,Living with Yourself Season 1 Made in a Strip Mall,1,20-oct.-19,TRUE
The Best You Can Be,Living with Yourself,Living with Yourself Season 1 The Best You Can Be,1,19-oct.-19,TRUE
Tahani Al-Jamil,The Good Place,The Good Place Season 1 Tahani Al-Jamil,1,18-oct.-19,TRUE
Super Mouth,Big Mouth,Big Mouth Season 3 Super Mouth,3,16-oct.-19,TRUE
Disclosure the Movie The Musical!,Big Mouth,Big Mouth Season 3 Disclosure the Movie The Musical!,3,16-oct.-19,TRUE
,El Camino A Breaking Bad Movie,El Camino A Breaking Bad Movie,,15-oct.-19,FALSE
The ASSes,Big Mouth,Big Mouth Season 3 The ASSes,3,11-oct.-19,TRUE
Rankings,Big Mouth,Big Mouth Season 3 Rankings,3,10-oct.-19,TRUE
Duke,Big Mouth,Big Mouth Season 3 Duke,3,10-oct.-19,TRUE
How To Have An Orgasm,Big Mouth,Big Mouth Season 3 How To Have An Orgasm,3,09-oct.-19,TRUE
Florida,Big Mouth,Big Mouth Season 3 Florida,3,08-oct.-19,TRUE
Obsessed,Big Mouth,Big Mouth Season 3 Obsessed,3,08-oct.-19,TRUE
Cellsea,Big Mouth,Big Mouth Season 3 Cellsea,3,06-oct.-19,TRUE
Girls Are Angry Too,Big Mouth,Big Mouth Season 3 Girls Are Angry Too,3,06-oct.-19,TRUE
Chapter 1,El marginal,El marginal Season 3 Chapter 1,3,05-oct.-19,TRUE
Flying,The Good Place,The Good Place Season 1 Flying,1,01-oct.-19,TRUE
Chapter 2,El marginal,El marginal Season 2 Chapter 2,2,01-oct.-19,TRUE
Tiabeanie Falls,Disenchantment,Disenchantment Part 2 Tiabeanie Falls,2,23-Sep-19,TRUE
The Electric Princess,Disenchantment,Disenchantment Part 2 The Electric Princess,2,23-Sep-19,TRUE
In Her Own Write,Disenchantment,Disenchantment Part 2 In Her Own Write,2,22-Sep-19,TRUE
Love's Slimy Embrace,Disenchantment,Disenchantment Part 2 Love's Slimy Embrace,2,22-Sep-19,TRUE
The Dreamland Job,Disenchantment,Disenchantment Part 2 The Dreamland Job,2,22-Sep-19,TRUE
"Our Bodies, Our Elves",Disenchantment,"Disenchantment Part 2 Our Bodies, Our Elves",2,22-Sep-19,TRUE
,Offline – Das Leben ist kein Bonuslevel,Offline – Das Leben ist kein Bonuslevel,,21-Sep-19,FALSE
The Lonely Heart Is a Hunter,Disenchantment,Disenchantment Part 2 The Lonely Heart Is a Hunter,2,21-Sep-19,TRUE
The Very Thing,Disenchantment,Disenchantment Part 2 The Very Thing,2,21-Sep-19,TRUE
Stairway to Hell,Disenchantment,Disenchantment Part 2 Stairway to Hell,2,20-Sep-19,TRUE
The Disenchantress,Disenchantment,Disenchantment Part 2 The Disenchantress,2,20-Sep-19,TRUE
The Abominable Bride,Sherlock,Sherlock Series 3 The Abominable Bride,3,19-Sep-19,TRUE
,Falling Inn Love,Falling Inn Love,,14-Sep-19,FALSE
The Final Problem,Sherlock,Sherlock Series 4 The Final Problem,4,12-Sep-19,TRUE
The Lying Detective,Sherlock,Sherlock Series 4 The Lying Detective,4,12-Sep-19,TRUE
The Six Thatchers,Sherlock,Sherlock Series 4 The Six Thatchers,4,11-Sep-19,TRUE
His Last Vow,Sherlock,Sherlock Series 3 His Last Vow,3,10-Sep-19,TRUE
The Sign of Three,Sherlock,Sherlock Series 3 The Sign of Three,3,10-Sep-19,TRUE
The Empty Hearse,Sherlock,Sherlock Series 3 The Empty Hearse,3,10-Sep-19,TRUE
The Reichenbach Fall,Sherlock,Sherlock Series 2 The Reichenbach Fall,2,09-Sep-19,TRUE
The Hounds of Baskerville,Sherlock,Sherlock Series 2 The Hounds of Baskerville,2,09-Sep-19,TRUE
A Scandal in Belgravia,Sherlock,Sherlock Series 2 A Scandal in Belgravia,2,08-Sep-19,TRUE
The Great Game,Sherlock,Sherlock Series 1 The Great Game,1,08-Sep-19,TRUE
The Blind Banker,Sherlock,Sherlock Series 1 The Blind Banker,1,08-Sep-19,TRUE
A Study in Pink,Sherlock,Sherlock Series 1 A Study in Pink,1,07-Sep-19,TRUE
,Back to School,Back to School,,30-Aug-19,FALSE
1,When They See Us,When They See Us Limited Series Part One,1,28-Aug-19,TRUE
,Tron Legacy,Tron Legacy,,25-Aug-19,FALSE
Normandy,Suits,Suits Season 2 Normandy,2,24-Aug-19,TRUE
,Failure to Launch,Failure to Launch,,11-Aug-19,FALSE
Episode 11,Historia de un clan,Historia de un clan Season 1 Episode 11,1,07-Aug-19,TRUE
Episode 10,Historia de un clan,Historia de un clan Season 1 Episode 10,1,07-Aug-19,TRUE
Episode 9,Historia de un clan,Historia de un clan Season 1 Episode 9,1,07-Aug-19,TRUE
Episode 8,Historia de un clan,Historia de un clan Season 1 Episode 8,1,04-Aug-19,TRUE
Episode 7,Historia de un clan,Historia de un clan Season 1 Episode 7,1,04-Aug-19,TRUE
Episode 6,Historia de un clan,Historia de un clan Season 1 Episode 6,1,03-Aug-19,TRUE
Episode 5,Historia de un clan,Historia de un clan Season 1 Episode 5,1,03-Aug-19,TRUE
,Get Him to the Greek,Get Him to the Greek,,02-Aug-19,FALSE
Episode 4,Historia de un clan,Historia de un clan Season 1 Episode 4,1,01-Aug-19,TRUE
Episode 3,Historia de un clan,Historia de un clan Season 1 Episode 3,1,31-jul.-19,TRUE
Episode 2,Historia de un clan,Historia de un clan Season 1 Episode 2,1,31-jul.-19,TRUE
Episode 1,Historia de un clan,Historia de un clan Season 1 Episode 1,1,27-jul.-19,TRUE
,Point Blank,Point Blank,,25-jul.-19,FALSE
,American Psycho,American Psycho,,17-jul.-19,FALSE
End of the Line,Family Business,Family Business Season 1 End of the Line,1,13-jul.-19,TRUE
Pastraweed,Family Business,Family Business Season 1 Pastraweed,1,13-jul.-19,TRUE
Running to Seed,Family Business,Family Business Season 1 Running to Seed,1,13-jul.-19,TRUE
Hog Wild,Family Business,Family Business Season 1 Hog Wild,1,13-jul.-19,TRUE
Deal,Family Business,Family Business Season 1 Deal,1,13-jul.-19,TRUE
He's Back,Suits,Suits Season 2 He's Back,2,11-jul.-19,TRUE
Zane Vs. Zane,Suits,Suits Season 2 Zane Vs. Zane,2,10-jul.-19,TRUE
